country_code,year,gdp_per_capita
CUW,2020,16299.8134349902
CYP,2020,28130.341796875
CZE,2020,23472.8915454417
DNK,2020,60985.4885601514
DJI,2020,2844.88810647853
DMA,2020,7827.74842680426
DOM,2020,7135.22273255899
ECU,2020,5463.64515348598
EGY,2020,3511.11381026379
SLV,2020,3997.19279583709
GNQ,2020,5764.05502912947
EST,2020,23933.9939421065
SWZ,2020,3466.56936278145
ETH,2020,829.790982547947
FRO,2020,62243.1905561324
FJI,2020,4620.6457238014
FIN,2020,48828.6846862799
FRA,2020,39169.8606000707
PYF,2020,19966.4838503859
GAB,2020,6605.80346077565
GMB,2020,720.335143352133
GEO,2020,4300.85701291207
DEU,2020,47394.8734504469
GHA,2020,2195.45481659987
GRC,2020,17886.733165236
GRL,2020,54812.6661771023
GRD,2020,8968.55890108484
GUM,2020,36482.9363953675
GTM,2020,4477.61785000665
GIN,2020,1053.66097696415
GNB,2020,846.915855715971
GUY,2020,6775.70939096303
HTI,2020,1290.32538667383
HND,2020,2307.61494319511
HKG,2020,46109.2299946609
HUN,2020,16386.9308821258
ISL,2020,60127.9393575616
IND,2020,1907.04251637669
IDN,2020,3853.70288774146
IRN,2020,3202.50003502169
IRQ,2020,4295.18945121228
IRL,2020,86514.0706108754
IMN,2020,79513.5330346598
ISR,2020,44575.5719045492
ITA,2020,32091.4866621366
JAM,2020,5299.04530804283
JPN,2020,40028.7341726762
JOR,2020,4022.0401356135
KAZ,2020,8781.50797787648
KEN,2020,1927.66459027849
KIR,2020,1751.78249168214
KOR,2020,33645.7719545073
XKX,2020,4310.88963754863
KWT,2020,25236.0755848941
KGZ,2020,1229.51766602907
LAO,2020,2583.77730696131
LVA,2020,17564.2321549354
LBN,2020,5561.19166950397
LSO,2020,918.582574704447
LBR,2020,616.787867006715
LBY,2020,6650.33810585348
LIE,2020,164671.093553454
LTU,2020,20428.6478157394
LUX,2020,116860.02817236
MAC,2020,36883.6652578543
MDG,2020,450.771615201509
MWI,2020,602.507478176106
MYS,2020,9957.52626697613
MDV,2020,7393.8886543933
MLI,2020,953.242943290974
MLT,2020,31823.4363934505
MHL,2020,5661.96787336674
MRT,2020,1795.76459566714
MUS,2020,9135.84773751062
MEX,2020,8841.27075039868
FSM,2020,3362.02802120524
MDA,2020,4375.7788930524
MCO,2020,176891.886538492
MNG,2020,4001.25193077703
MNE,2020,7538.53635992191
